id_loc,id_mun,id_cf,id_cfarabic,lat_loc,lon_loc,name_loc,matched_region_ar
157,1480,61111,,33.5685017902464,35.3762364028008,الجية-صيدا,الجية
129,458,24133,,33.7848775152267,35.4776019658836,الناعمة-خلدة,"الناعمة, خلدة"
63,505,21111,,33.86243,35.494092,الجية-بيروت,الجية
62,613,23267,,33.666799663289,35.4230800023293,الجية,الجية
60,644,23141,,33.7511478186396,35.4527073837705,خلدة-الناعمة,"خلدة, الناعمة"
59,644,23141,,33.7488876087674,35.4532751585837,الناعمة,الناعمة
52,505,21111,,33.8592923989293,35.493858157563,السعديات-بيروت,السعديات
51,582,23111,,33.6943607143469,35.425371752734,السعديات,السعديات
50,1437,61441,,33.427593,35.305927,خلدة-الجنوب,خلدة
45,279,10210,,33.8743452699597,35.486354398103,خلدة-بيروت,خلدة
44,458,24133,,33.7998620036476,35.4789896056432,الأوزاعي-خلدة,خلدة
23,458,24133,,33.7955540225495,35.4824612058138,المطار-خلدة,خلدة
16,546,21188,,33.8274659197193,35.4932208612774,خلدة-المطار,خلدة
14,458,24133,,33.7890333014261,35.4807402884844,خلدة,خلدة
